折,N_mid_train,N_mid_test,全天_midMAE,午间专用_midMAE,Δ(专用-全天)
春25,384,1068,4183.6063866694385,2992.35794905078,-1191.2484376186585
秋25,2532,1056,3161.668665330754,3304.5380491702686,142.86938383951474
冬26,3972,324,6423.1463419668335,6231.945920755414,-191.20042121141978
官方val26,4296,1224,3004.908205475167,3154.045512858926,149.13730738375898
