折,N_te,V1_base_all,V1_base_mid,V2_anch_all,V2_anch_mid,V3_ramp_all,V3_ramp_mid
春25,8545,2684.2618569990113,4363.954523658637,2524.9363435240634,4772.979430182379,4543.967668735213,7985.467463535485
秋25,8449,2033.0536145275114,3280.7911512947776,1736.651191056046,3250.500668554856,5302.872890938384,10089.293010525858
冬26,2809,3505.9384266891293,6299.0734729460255,3079.02082575212,6052.505567115816,5640.533432949996,12691.898856560223
官方val26,9794,1653.5168434493746,3271.7452532447064,1626.4829403951687,3335.2691532649897,3796.512028392187,8308.645604145762
