,组,N,mean_res,MAE,std
0,3,372,-1152.9600,3077.0725,3972.4764
1,4,360,-570.8079,2948.8483,3852.7927
2,5,372,7.9889,2586.0382,3481.8090
3,6,180,855.7293,2621.5627,3443.9991
