,组,N,mean_res,MAE,std
0,0-8,91,-4875.5358,5985.6120,4988.1377
1,8-15,161,1299.0498,2460.9307,2650.8052
2,15-25,673,-237.9526,2742.5854,3665.3932
3,25-35,335,-227.6591,2508.4323,3306.5556
